labeled_object.ordinal,labeled_object.onset,labeled_object.offset,labeled_object.object,labeled_object.utterance_type,labeled_object.object_present,labeled_object.speaker,basic_level
0,73561,79825,Titus,q,y,MOT,Titus
1,132557,133239,blocks,q,y,MOT,block
2,153788,155708,blocks,i,y,MOT,block
3,190691,194217,block,q,y,MOT,block
4,239371,241424,teeth,q,n,MOT,teeth
5,248881,280252,ball,q,y,MOT,ball
6,261744,263885,blocks,d,y,MOT,block
7,276023,279776,ball,q,y,MOT,ball
8,280253,284722,ball,q,y,MOT,ball
9,307410,313550,puke,q,y,MOT,NA
10,321321,322655,ball,q,y,MOT,ball
11,325369,327599,ball,d,y,MOT,ball
12,346799,351045,blocks,d,n,MOT,block
13,401476,408654,ball,d,y,TOY,ball
14,412452,426381,ball,d,y,MOT,ball
15,424309,425655,blocks,d,n,MOT,block
16,448319,454692,tower,q,y,MOT,tower
17,493797,497887,tower,q,y,MOT,tower
18,535412,542634,head,d,n,MOT,head
19,550269,552195,blocks,d,y,MOT,block
20,570335,573247,pony,d,y,SIS,pony
21,577547,581865,toys,d,y,SIS,NA
22,618783,621686,book,d,y,MOT,book
23,622225,625044,tower,d,n,MOT,tower
24,680867,683624,ball,d,y,MOT,ball
25,694837,695749,ball,d,y,MOT,ball
26,699118,700388,ball,d,y,MOT,ball
27,700389,704608,pool,d,n,MOT,pool
28,720826,723335,ball,q,y,MOT,ball
29,775910,780900,ball,q,y,MOT,ball
30,847214,856108,hat,d,n,MOT,hat
31,856108,861103,hat,d,n,SIS,hat
32,992035,994502,j,n,y,MOT,j
33,994503,995735,u,n,y,MOT,u
34,995740,999324,d,n,y,MOT,d
35,999325,1002127,a,n,y,MOT,a
36,1002128,1003488,h,n,y,MOT,h
37,1035452,1038325,j,n,y,MOT,j
38,1038325,1039473,u,n,y,MOT,u
39,1039659,1040600,d,n,y,MOT,d
40,1040600,1041343,a,n,y,MOT,a
41,1041344,1042244,h,n,y,MOT,h
42,1042245,1044651,h,n,y,MOT,h
43,1049828,1051819,h,n,y,MOT,h
44,1051820,1052410,a,n,y,MOT,a
45,1052411,1053485,z,n,y,MOT,z
46,1053486,1054504,e,n,y,MOT,e
47,1054505,1055449,l,n,y,MOT,l
48,1081572,1087275,thumb,q,y,MOT,thumb
49,1087276,1089617,tooth,q,n,MOT,tooth
50,1271713,1277292,teether,q,y,MOT,teether
51,1286955,1288739,u,n,y,MOT,u
52,1288740,1289718,v,n,y,MOT,v
53,1455539,1457336,water,q,y,MOT,water
54,1457337,1458759,water,d,y,MOT,water
55,1460782,1461866,ball,d,y,MOT,ball
56,1496618,1500802,packaging,d,y,MOT,packaging
57,1501562,1504045,ball,d,y,MOT,ball
58,1509563,1511577,hand,d,y,MOT,hand
59,1550632,1553390,box,d,n,MOT,box
60,1553391,1555014,cylinder+box,d,y,MOT,box
61,1567693,1569773,Minnie+Mouse,d,y,SIS,Minnie+Mouse
62,1611424,1615049,teeth,d,n,MOT,teeth
63,1628932,1630295,ball,d,y,MOT,ball
64,1677255,1686275,telescope,d,n,MOT,telescope
65,1704928,1710332,jumper,d,n,MOT,jumper
66,1726013,1727285,turtle,q,y,MOT,turtle
67,1730451,1733209,tower,d,y,MOT,tower
68,1734548,1735540,turtle,d,y,MOT,turtle
69,1741748,1743037,lion,d,y,MOT,lion
70,1746292,1749431,pony,i,y,SIS,pony
71,1775695,1782328,face,d,n,MOT,face
72,1789534,1790741,turtle,q,y,MOT,turtle
73,1790742,1791753,teeth,q,y,MOT,teeth
74,1818831,1821713,water,d,y,MOT,water
75,1829894,1833861,phone,q,n,MOT,phone
76,1882836,1887392,ball,d,y,TOY,ball
77,1900724,1901839,ball,d,y,TOY,ball
78,1914445,1921077,ball,d,y,TOY,ball
79,1994154,1996943,fingers,i,y,MOT,finger
80,2024765,2027305,book,d,y,MOT,book
81,2029849,2032296,tower,d,y,MOT,tower
82,2142910,2144737,blocks,q,y,MOT,block
83,2178876,2185633,teeth,q,n,MOT,teeth
84,2234744,2237223,legs,i,n,MOT,leg
85,2246195,2248209,tiger,q,y,MOT,tiger
86,2248210,2251832,tiger,n,y,MOT,tiger
87,2347142,2350955,ball,q,n,MOT,ball
88,2366301,2367138,ball,q,y,MOT,ball
89,2459730,2462488,ball,q,y,MOT,ball
90,2475605,2477588,ball,q,y,MOT,ball
91,2494422,2498513,feet,q,y,MOT,feet
92,2525772,2530390,finger,d,y,MOT,finger
93,2579270,2582051,book,d,y,MOT,book
94,2652810,2654568,tower,d,y,MOT,tower
95,2654764,2656764,tower+train,n,y,MOT,train
96,2665679,2666918,ball,d,y,MOT,ball
97,2775645,2777543,helicopter,d,n,MOT,helicopter
98,2792974,2795918,drum,d,n,MOT,drum
99,2847361,2848602,Listen+to+the+Wind,r,y,MOT,Listen+to+the+Wind
100,2850249,2852886,Listen+to+the+Wind,r,y,MOT,Listen+to+the+Wind
101,2869252,2871451,book,d,y,MOT,book
102,2872596,2873432,board+book,d,n,MOT,book
103,3008489,3011154,train+book,q,y,MOT,book
104,3207357,3213277,book,d,y,MOT,book
105,3214402,3216944,train+book,q,y,MOT,book
106,3258990,3261469,picture,d,n,MOT,picture
107,3276614,3279929,book,d,y,MOT,book
108,3284853,3285690,train,d,y,MOT,train
109,3322737,3325092,drum,q,n,MOT,drum
110,3407444,3409706,Noisy+Train,n,y,MOT,Noisy+Train
111,3419257,3421333,dog,r,y,MOT,dog
112,3421334,3423330,train,r,y,MOT,train
113,3422396,3424292,station,r,y,MOT,station
114,3426675,3429948,train,r,y,MOT,train
115,3434545,3437054,train,r,y,MOT,train
116,3437055,3439881,bridge,r,y,MOT,bridge
117,3439882,3442738,frog,r,y,MOT,frog
118,3442739,3447968,frogs,q,y,MOT,frog
119,3453921,3457648,train,r,y,MOT,train
120,3453921,3458424,mountains,r,y,MOT,mountain
121,3459922,3462040,mouse,r,y,MOT,mouse
122,3462041,3464593,trailer,r,y,MOT,trailer
123,3465669,3467689,trailer,r,y,MOT,trailer
124,3470823,3471567,page,d,y,MOT,page
125,3475932,3482989,train,r,y,MOT,train
126,3479257,3481689,station,r,y,MOT,station
127,3486514,3488311,dog,r,y,MOT,dog
128,3565621,3567788,couch,q,y,MOT,couch
129,3594333,3596383,phone,q,y,MOT,phone
130,3596384,3598548,elephant,d,y,MOT,elephant
131,3598549,3602561,lion,d,y,MOT,lion
132,3612480,3615672,hand,q,y,MOT,hand
133,3616686,3619009,hand+teether,n,y,MOT,teether
134,3632445,3634616,sweaters,d,n,MOT,sweater
135,3640824,3642033,hand,q,y,MOT,hand
136,3650352,3653886,hands,q,n,MOT,hand