word	month
baby	6
spoon	6
diaper	6
blanket	6
blanket	6
dog	6
ball	6
book	6
book	6
diaper	6
bottle	6
spoon	6
baby	6
dog	6
foot	6
milk	6
foot	6
hand	6
hand	6
stroller	6
car	6
juice	6
juice	6
milk	6
ball	6
mouth	6
mouth	6
nose	6
bottle	6
nose	6
car	6
stroller	6
banana	8
kitty	8
bear	8
cracker	8
cup	8
hair	8
cheerios	8
water	8
door	10
shoe	10
dog	10
keys	10
bath	10
phone	10
chair	10
tooth	10
ball	12
cookie	12
bottle	12
house	12
cheerios	12
sock	12
finger	12
tree	12
book	14
juice	14
balloon	14
eye	14
block	14
milk	14
door	14
leg	14
bath	16
sweater	16
bird	16
keys	16
foot	16
spoon	16
hat	16
phone	16
banana	18
sock	18
bed	18
ear	18
blanket	18
mouth	18
highchair	18
shirt	18